>17, 2/10, d=0.003, g=0.004
>17, 3/10, d=0.004, g=0.000
>17, 4/10, d=0.003, g=0.004
>17, 5/10, d=0.004, g=0.011
>17, 6/10, d=0.004, g=0.004
>17, 7/10, d=0.003, g=0.001
>17, 8/10, d=0.003, g=0.002
>17, 9/10, d=0.002, g=0.002
>17, 10/10, d=0.002, g=0.002
>18, 1/10, d=0.023, g=0.000
>18, 2/10, d=0.013, g=0.000
>18, 3/10, d=0.028, g=0.000
>18, 4/10, d=0.021, g=0.000
>18, 5/10, d=0.014, g=0.000
>18, 6/10, d=0.008, g=0.000
>18, 7/10, d=0.006, g=0.000
>18, 8/10, d=0.006, g=0.000
>18, 9/10, d=0.005, g=0.000
>18, 10/10, d=0.004, g=0.000
>19, 1/10, d=0.003, g=0.000
>19, 2/10, d=0.002, g=0.000
>19, 3/10, d=0.003, g=0.000
>19, 4/10, d=0.002, g=0.000
>19, 5/10, d=0.003, g=0.000
>19, 6/10, d=0.002, g=0.000
>19, 7/10, d=0.003, g=0.000
>19, 8/10, d=0.002, g=0.000
>19, 9/10, d=0.002, g=0.000
>19, 10/10, d=0.002, g=0.000
>20, 1/10, d=0.001, g=0.000
>20, 2/10, d=0.002, g=0.000
>20, 3/10, d=0.002, g=0.000
>20, 4/10, d=0.002, g=0.000
>20, 5/10, d=0.002, g=0.000
>20, 6/10, d=0.001, g=0.000
>20, 7/10, d=0.001, g=0.000
>20, 8/10, d=0.001, g=0.000
>20, 9/10, d=0.001, g=0.000
>20, 10/10, d=0.001, g=0.000
>Accuracy real: 100%, fake: 100%
>21, 1/10, d=0.001, g=0.000
>21, 2/10, d=0.001, g=0.000
>21, 3/10, d=0.001, g=0.000
>21, 4/10, d=0.001, g=0.000
>21, 5/10, d=0.001, g=0.000
>21, 6/10, d=0.002, g=0.000
>21, 7/10, d=0.003, g=0.000
>21, 8/10, d=0.001, g=0.000
>21, 9/10, d=0.001, g=0.000
>21, 10/10, d=0.001, g=0.000
>22, 1/10, d=0.001, g=0.000
>22, 2/10, d=0.001, g=0.000
>22, 3/10, d=0.001, g=0.000
>22, 4/10, d=0.001, g=0.000
>22, 5/10, d=0.001, g=0.000
>22, 6/10, d=0.001, g=0.000
>22, 7/10, d=0.001, g=0.000
>22, 8/10, d=0.001, g=0.000
>22, 9/10, d=0.001, g=0.000
>22, 10/10, d=0.001, g=0.000
>23, 1/10, d=0.001, g=0.000
>23, 2/10, d=0.001, g=0.000
>23, 3/10, d=0.001, g=0.000
>23, 4/10, d=0.001, g=0.000
>23, 5/10, d=0.001, g=0.000
>23, 6/10, d=0.001, g=0.000
>23, 7/10, d=0.001, g=0.000
>23, 8/10, d=0.001, g=0.000
>23, 9/10, d=0.001, g=0.000
>23, 10/10, d=0.001, g=0.000
>24, 1/10, d=0.001, g=0.000
>24, 2/10, d=0.001, g=0.000
>24, 3/10, d=0.001, g=0.000
>24, 4/10, d=0.000, g=0.000
>24, 5/10, d=0.001, g=0.000
>24, 6/10, d=0.001, g=0.000
>24, 7/10, d=0.001, g=0.000
>24, 8/10, d=0.006, g=0.000
>24, 9/10, d=0.001, g=0.000
>24, 10/10, d=0.002, g=0.000
>25, 1/10, d=0.001, g=0.000
>25, 2/10, d=0.001, g=0.000
>25, 3/10, d=0.001, g=0.000
>25, 4/10, d=0.001, g=0.000
>25, 5/10, d=0.001, g=0.000
>25, 6/10, d=0.001, g=0.000
>25, 7/10, d=0.001, g=0.000
>25, 8/10, d=0.001, g=0.000
>25, 9/10, d=0.000, g=0.000
>25, 10/10, d=0.000, g=0.000
>26, 1/10, d=0.001, g=0.000
>26, 2/10, d=0.001, g=0.000
>26, 3/10, d=0.001, g=0.000
>26, 4/10, d=0.001, g=0.000
>26, 5/10, d=0.001, g=0.000
>26, 6/10, d=0.001, g=0.000
>26, 7/10, d=0.001, g=0.000
>26, 8/10, d=0.002, g=0.000
>26, 9/10, d=0.001, g=0.000
>26, 10/10, d=0.001, g=0.000
>27, 1/10, d=0.001, g=0.000
>27, 2/10, d=0.011, g=0.000
>27, 3/10, d=0.005, g=0.000
>27, 4/10, d=0.001, g=0.000
>27, 5/10, d=0.002, g=0.000
>27, 6/10, d=0.010, g=0.000
>27, 7/10, d=0.002, g=0.000
>27, 8/10, d=0.002, g=0.000
>27, 9/10, d=0.004, g=0.000
>27, 10/10, d=0.001, g=0.000
>28, 1/10, d=0.001, g=0.000
>28, 2/10, d=0.001, g=0.000
>28, 3/10, d=0.001, g=0.000
>28, 4/10, d=0.001, g=0.000
>28, 5/10, d=0.001, g=0.000
>28, 6/10, d=0.001, g=0.000
>28, 7/10, d=0.001, g=0.000
>28, 8/10, d=0.000, g=0.000
>28, 9/10, d=0.001, g=0.000
>28, 10/10, d=0.001, g=0.000
>29, 1/10, d=0.000, g=0.000
>29, 2/10, d=0.011, g=0.000
>29, 3/10, d=0.000, g=0.000
>29, 4/10, d=0.000, g=0.001
>29, 5/10, d=0.009, g=0.409
>29, 6/10, d=0.000, g=0.012
>29, 7/10, d=0.066, g=0.000
>29, 8/10, d=0.006, g=0.000
>29, 9/10, d=0.018, g=0.000
>29, 10/10, d=0.031, g=0.000
>30, 1/10, d=0.018, g=0.000
>30, 2/10, d=0.014, g=0.000
>30, 3/10, d=0.010, g=0.000
>30, 4/10, d=0.006, g=0.000
>30, 5/10, d=0.005, g=0.000
>30, 6/10, d=0.326, g=0.000
>30, 7/10, d=0.002, g=0.000
>30, 8/10, d=0.001, g=0.000
>30, 9/10, d=0.001, g=0.000
>30, 10/10, d=0.001, g=0.000
>31, 1/10, d=0.001, g=0.000
>31, 2/10, d=0.000, g=0.000
>31, 3/10, d=0.001, g=0.000
>31, 4/10, d=0.061, g=0.000
>31, 5/10, d=0.000, g=0.000
>31, 6/10, d=0.000, g=0.000
>31, 7/10, d=0.000, g=0.000
>31, 8/10, d=0.004, g=0.000
>31, 9/10, d=0.000, g=0.000
>31, 10/10, d=0.002, g=0.000
>32, 1/10, d=0.000, g=0.000
>32, 2/10, d=0.000, g=0.000
>32, 3/10, d=0.001, g=0.000
>32, 4/10, d=0.000, g=0.000
>32, 5/10, d=0.012, g=0.000
>32, 6/10, d=0.000, g=0.000
>32, 7/10, d=0.005, g=0.000
>32, 8/10, d=0.000, g=0.000
>32, 9/10, d=0.001, g=0.000
>32, 10/10, d=0.001, g=0.000
>33, 1/10, d=0.023, g=0.000
>33, 2/10, d=0.000, g=0.000
>33, 3/10, d=0.009, g=0.000
>33, 4/10, d=0.000, g=0.000
>33, 5/10, d=0.001, g=0.000
>33, 6/10, d=0.000, g=0.000
>33, 7/10, d=0.000, g=0.000
>33, 8/10, d=0.000, g=0.000
>33, 9/10, d=0.000, g=0.000
>33, 10/10, d=0.147, g=1.544
>34, 1/10, d=0.653, g=0.000
>34, 2/10, d=0.498, g=0.000
>34, 3/10, d=0.030, g=0.000
>34, 4/10, d=1.850, g=0.000
>34, 5/10, d=0.032, g=0.000
>34, 6/10, d=0.286, g=0.000
>34, 7/10, d=0.694, g=0.000
>34, 8/10, d=0.024, g=0.000
>34, 9/10, d=0.058, g=0.000
>34, 10/10, d=0.037, g=0.000
>35, 1/10, d=0.008, g=0.000
>35, 2/10, d=0.033, g=0.000
>35, 3/10, d=0.115, g=0.000
>35, 4/10, d=0.040, g=0.000
>35, 5/10, d=0.031, g=0.000
>35, 6/10, d=0.013, g=0.000
>35, 7/10, d=0.080, g=0.000
>35, 8/10, d=0.047, g=0.000
>35, 9/10, d=0.096, g=0.000
>35, 10/10, d=0.078, g=0.000
>36, 1/10, d=0.025, g=0.000
>36, 2/10, d=0.023, g=0.000
>36, 3/10, d=0.013, g=0.000
>36, 4/10, d=0.104, g=0.000
>36, 5/10, d=0.080, g=0.001
>36, 6/10, d=0.108, g=0.000
>36, 7/10, d=0.035, g=0.001
>36, 8/10, d=0.237, g=0.000
>36, 9/10, d=0.025, g=0.000
>36, 10/10, d=0.366, g=0.000
>37, 1/10, d=0.183, g=0.001
>37, 2/10, d=0.017, g=0.001
>37, 3/10, d=0.074, g=0.002
>37, 4/10, d=0.030, g=0.001
>37, 5/10, d=0.184, g=0.003
>37, 6/10, d=0.199, g=0.046
>37, 7/10, d=0.123, g=0.026
>37, 8/10, d=0.080, g=0.007
>37, 9/10, d=0.213, g=0.006
>37, 10/10, d=0.190, g=0.000
>38, 1/10, d=0.025, g=0.000
>38, 2/10, d=0.302, g=0.001
>38, 3/10, d=0.258, g=0.007
>38, 4/10, d=0.027, g=0.019
>38, 5/10, d=0.111, g=0.010
>38, 6/10, d=0.055, g=0.003
>38, 7/10, d=0.161, g=0.009
>38, 8/10, d=0.136, g=0.056
>38, 9/10, d=0.208, g=0.961
>38, 10/10, d=0.331, g=0.011
>39, 1/10, d=0.350, g=0.514
>39, 2/10, d=0.088, g=0.366
>39, 3/10, d=0.359, g=0.002
>39, 4/10, d=1.000, g=1.421
>39, 5/10, d=0.167, g=6.541
>39, 6/10, d=0.773, g=0.145
>39, 7/10, d=0.233, g=0.048
>39, 8/10, d=0.209, g=0.196
>39, 9/10, d=0.373, g=1.150
>39, 10/10, d=0.260, g=3.113
>40, 1/10, d=0.217, g=3.251
>40, 2/10, d=0.276, g=1.664
>40, 3/10, d=0.329, g=1.659
>40, 4/10, d=0.154, g=0.692
>40, 5/10, d=0.252, g=0.656
>40, 6/10, d=0.414, g=0.692
>40, 7/10, d=0.831, g=2.701
>40, 8/10, d=0.894, g=3.080
>40, 9/10, d=0.941, g=0.592
>40, 10/10, d=0.695, g=0.929
>Accuracy real: 94%, fake: 69%
>41, 1/10, d=0.455, g=1.645
>41, 2/10, d=0.677, g=1.082
>41, 3/10, d=0.463, g=1.250
>41, 4/10, d=0.520, g=3.352
>41, 5/10, d=0.655, g=1.321
>41, 6/10, d=0.506, g=0.639
>41, 7/10, d=0.594, g=1.195
>41, 8/10, d=0.434, g=1.678
>41, 9/10, d=0.385, g=1.681
>41, 10/10, d=0.606, g=1.376
>42, 1/10, d=0.820, g=1.602
>42, 2/10, d=0.598, g=1.396
>42, 3/10, d=0.438, g=1.032
>42, 4/10, d=0.452, g=1.076
>42, 5/10, d=0.304, g=0.822
>42, 6/10, d=0.397, g=0.933
>42, 7/10, d=0.434, g=0.625
>42, 8/10, d=0.325, g=1.169
>42, 9/10, d=0.414, g=0.465
>42, 10/10, d=0.202, g=0.625
>43, 1/10, d=0.209, g=0.347
>43, 2/10, d=0.127, g=0.493
>43, 3/10, d=0.182, g=0.254
>43, 4/10, d=0.151, g=0.497
>43, 5/10, d=0.144, g=0.224
>43, 6/10, d=0.056, g=0.225
>43, 7/10, d=0.245, g=0.118
>43, 8/10, d=0.206, g=1.332
>43, 9/10, d=0.306, g=0.450
>43, 10/10, d=0.367, g=1.231
>44, 1/10, d=0.494, g=0.144
>44, 2/10, d=0.696, g=0.294
>44, 3/10, d=0.237, g=0.162
>44, 4/10, d=0.281, g=0.243
>44, 5/10, d=0.184, g=0.160
>44, 6/10, d=0.091, g=0.140
>44, 7/10, d=0.120, g=0.074
>44, 8/10, d=0.092, g=0.167
>44, 9/10, d=0.056, g=0.102
>44, 10/10, d=0.091, g=0.122
>45, 1/10, d=0.062, g=0.179
>45, 2/10, d=0.043, g=0.148
>45, 3/10, d=0.055, g=0.034
>45, 4/10, d=0.138, g=0.089
>45, 5/10, d=0.057, g=0.071
>45, 6/10, d=0.033, g=0.070
>45, 7/10, d=0.088, g=0.047
>45, 8/10, d=0.050, g=0.036
>45, 9/10, d=0.196, g=0.045
>45, 10/10, d=0.068, g=0.038
>46, 1/10, d=0.075, g=0.235
>46, 2/10, d=0.237, g=0.098
>46, 3/10, d=0.346, g=1.495
>46, 4/10, d=0.598, g=0.047
>46, 5/10, d=0.224, g=0.059
>46, 6/10, d=0.156, g=0.272
>46, 7/10, d=0.084, g=0.314
>46, 8/10, d=0.191, g=0.093
>46, 9/10, d=0.216, g=0.285
>46, 10/10, d=0.324, g=0.249
>47, 1/10, d=0.446, g=0.154
>47, 2/10, d=0.198, g=0.836
>47, 3/10, d=0.229, g=0.141
>47, 4/10, d=0.207, g=0.326
>47, 5/10, d=0.242, g=0.093
>47, 6/10, d=0.401, g=0.538
>47, 7/10, d=0.359, g=0.505
>47, 8/10, d=0.650, g=0.066
>47, 9/10, d=0.710, g=0.757
>47, 10/10, d=0.974, g=0.114
>48, 1/10, d=0.834, g=0.780
>48, 2/10, d=1.029, g=0.359
>48, 3/10, d=0.310, g=0.715
>48, 4/10, d=0.900, g=0.399
>48, 5/10, d=0.736, g=0.617
>48, 6/10, d=1.014, g=0.433
>48, 7/10, d=0.613, g=0.283
>48, 8/10, d=0.667, g=0.566
>48, 9/10, d=0.515, g=0.345
>48, 10/10, d=0.810, g=0.511
>49, 1/10, d=0.653, g=0.585
>49, 2/10, d=0.714, g=0.350
>49, 3/10, d=0.598, g=0.345
>49, 4/10, d=0.814, g=0.414
>49, 5/10, d=0.448, g=0.297
>49, 6/10, d=0.582, g=0.350
>49, 7/10, d=1.000, g=0.209
>49, 8/10, d=0.761, g=0.175
>49, 9/10, d=0.705, g=0.379
>49, 10/10, d=0.567, g=0.360
>50, 1/10, d=0.524, g=0.519
>50, 2/10, d=0.501, g=0.434
>50, 3/10, d=0.645, g=0.364
>50, 4/10, d=0.704, g=0.284
>50, 5/10, d=0.725, g=0.459
>50, 6/10, d=0.810, g=0.261
>50, 7/10, d=0.702, g=0.255
>50, 8/10, d=0.667, g=0.474
>50, 9/10, d=0.514, g=0.482
>50, 10/10, d=0.678, g=0.413
>51, 1/10, d=0.791, g=0.435
>51, 2/10, d=0.914, g=0.378
>51, 3/10, d=0.699, g=0.526
>51, 4/10, d=0.651, g=0.682
>51, 5/10, d=0.678, g=0.572
>51, 6/10, d=0.564, g=0.689
>51, 7/10, d=0.597, g=0.660
>51, 8/10, d=0.741, g=0.541
>51, 9/10, d=0.745, g=0.524
>51, 10/10, d=0.836, g=0.560
>52, 1/10, d=0.610, g=0.603
>52, 2/10, d=0.652, g=0.648
>52, 3/10, d=0.726, g=0.650
>52, 4/10, d=0.576, g=0.696
>52, 5/10, d=0.682, g=0.708
>52, 6/10, d=0.703, g=0.650
>52, 7/10, d=0.536, g=0.562
>52, 8/10, d=0.646, g=0.599
>52, 9/10, d=0.620, g=0.544
>52, 10/10, d=0.730, g=0.596
>53, 1/10, d=0.884, g=0.587
>53, 2/10, d=0.723, g=0.604
>53, 3/10, d=0.747, g=0.629
>53, 4/10, d=0.783, g=0.672
>53, 5/10, d=0.633, g=0.680
>53, 6/10, d=0.626, g=0.752
>53, 7/10, d=0.702, g=0.737
>53, 8/10, d=0.638, g=0.612
>53, 9/10, d=0.612, g=0.620
>53, 10/10, d=0.710, g=0.630
>54, 1/10, d=0.716, g=0.611
>54, 2/10, d=0.631, g=0.618
>54, 3/10, d=0.667, g=0.768
>54, 4/10, d=0.711, g=0.681
>54, 5/10, d=0.641, g=0.626
>54, 6/10, d=0.683, g=0.709
>54, 7/10, d=0.654, g=0.658
>54, 8/10, d=0.716, g=0.641
>54, 9/10, d=0.664, g=0.752
>54, 10/10, d=0.735, g=0.664
>55, 1/10, d=0.689, g=0.801
>55, 2/10, d=0.626, g=0.668
>55, 3/10, d=0.704, g=0.694
>55, 4/10, d=0.634, g=0.742
>55, 5/10, d=0.683, g=0.803
>55, 6/10, d=0.641, g=0.779
>55, 7/10, d=0.730, g=0.781
>55, 8/10, d=0.683, g=0.728
>55, 9/10, d=0.652, g=0.740
>55, 10/10, d=0.676, g=0.643
>56, 1/10, d=0.640, g=0.660
>56, 2/10, d=0.696, g=0.706
>56, 3/10, d=0.650, g=0.752
>56, 4/10, d=0.743, g=0.701
>56, 5/10, d=0.729, g=0.661
>56, 6/10, d=0.645, g=0.705
>56, 7/10, d=0.684, g=0.634
>56, 8/10, d=0.771, g=0.738
>56, 9/10, d=0.687, g=0.634
>56, 10/10, d=0.697, g=0.727
>57, 1/10, d=0.713, g=0.759
>57, 2/10, d=0.634, g=0.740
>57, 3/10, d=0.735, g=0.693
>57, 4/10, d=0.668, g=0.672
>57, 5/10, d=0.721, g=0.642
>57, 6/10, d=0.700, g=0.676
>57, 7/10, d=0.686, g=0.653
>57, 8/10, d=0.710, g=0.660
>57, 9/10, d=0.632, g=0.703
>57, 10/10, d=0.704, g=0.653
>58, 1/10, d=0.683, g=0.634
>58, 2/10, d=0.749, g=0.700
>58, 3/10, d=0.710, g=0.784
>58, 4/10, d=0.671, g=0.780
>58, 5/10, d=0.676, g=0.732
>58, 6/10, d=0.692, g=0.776
>58, 7/10, d=0.697, g=0.765
>58, 8/10, d=0.641, g=0.773
>58, 9/10, d=0.655, g=0.816
>58, 10/10, d=0.646, g=0.667
>59, 1/10, d=0.662, g=0.674
>59, 2/10, d=0.664, g=0.674
>59, 3/10, d=0.638, g=0.774
>59, 4/10, d=0.678, g=0.676
>59, 5/10, d=0.703, g=0.745
>59, 6/10, d=0.649, g=0.818
>59, 7/10, d=0.594, g=0.759
>59, 8/10, d=0.690, g=0.772
>59, 9/10, d=0.660, g=0.723
>59, 10/10, d=0.708, g=0.676
>60, 1/10, d=0.587, g=0.730
>60, 2/10, d=0.651, g=0.701
>60, 3/10, d=0.676, g=0.657
>60, 4/10, d=0.689, g=0.707
